id	test-condition
HSC1_1	foo
HSC1_2	foo
HSC1_3	foo
HSC1_4	foo
HSC1_5	foo
HSC1_6	foo
HSC1_7	foo
HSC1_8	foo
HSC1_9	foo
HSC1_10	foo
HSC1_11	foo
HSC1_12	foo
HSC1_13	foo
HSC1_14	foo
HSC1_15	foo
HSC1_16	foo
HSC1_17	foo
HSC1_18	foo
HSC1_19	foo
HSC1_20	foo
HSC1_21	foo
HSC1_22	foo
HSC1_23	foo
HSC1_24	foo
HSC1_25	foo
HSC1_26	foo
HSC1_27	foo
HSC1_28	foo
HSC1_29	foo
HSC1_30	foo
HSC1_31	foo
HSC1_32	foo
HSC1_33	foo
HSC1_34	foo
HSC1_35	foo
HSC1_36	foo
HSC1_37	foo
HSC1_38	foo
HSC1_39	foo
HSC1_40	foo
HSC1_41	bar
HSC1_42	bar
HSC1_43	bar
HSC1_44	bar
HSC1_45	bar
HSC1_46	bar
HSC1_47	bar
HSC1_48	bar
HSC1_49	bar
HSC1_50	bar
HSC1_51	bar
HSC1_52	bar
HSC1_53	bar
HSC1_54	bar
HSC1_55	bar
HSC1_56	bar
HSC1_57	bar
HSC1_58	bar
HSC1_59	bar
HSC1_60	bar
HSC1_61	bar
HSC1_62	bar
HSC1_63	bar
HSC1_64	bar
HSC1_65	bar
HSC1_66	bar
HSC1_67	bar
HSC1_68	bar
HSC1_69	bar
HSC1_70	bar
HSC1_71	bar
HSC1_72	bar
HSC1_73	bar
HSC1_74	bar
HSC1_75	bar
HSC1_76	bar
HSC1_77	bar
HSC1_78	bar
HSC1_79	bar
HSC1_80	bar
HSC1_81	bar
HSC1_82	bar
HSC1_83	bar
HSC1_84	bar
HSC1_85	bar
HSC1_86	bar
HSC1_87	bar
HSC1_88	bar
HSC1_89	bar
HSC1_90	bar
HSC1_91	bar
HSC1_92	bar
HSC1_93	bar
HSC1_94	bar
HSC1_95	bar
HSC1_96	bar

