signature	parent	genes
MDSC		CCR7, CD1A, CD1B, CD1C, CD207, CD209, CD4, CD40, CD80, CD83, CD86, CMKLR1, HLA-DOA, HLA-DOB, HLA-DRA, HLA-DRB1, HLA-DRB5, HLA-DRB6, ITGA4, ITGAM, ITGAX, LY75, NRP1, PDCD1LG2
MEGAKAROCYTE		CD9, GP1BA, ITGA2B, ITGAV, ITGB3, PECAM1, SELP
MYELOID_DENDRITIC_CELL		CCR7, CD1A, CD1B, CD1C, CD207, CD209, CD4, CD40, CD80, CD83, CD86, CMKLR1, DCX, ITGA4, ITGAM, ITGAX, LY75, NRP1, PDCD1LG2
NAIVE_CD4_T_CELL		CCR7, CD3D, CD3E, CD3G, CD4, SELL
NEUTROPHIL		ANPEP, C5AR1, CD14, CD33, CEACAM8, CSF3R, CXCR1, CXCR2, FCGR1A, FUT4, ITGAM, ITGAX, MME, PECAM1, SELL, TLR2
NK_CELL		B3GAT1, CD244, CD69, IL2RB, ITGA2, ITGAM, ITGAX, KLRAP1, KLRB1, KLRD1, KLRK1, NCAM1, NCR1, KLRK1, SIGLEC7, SLAMF6, SLAMF7
PLASMACYTOID_DENDRITIC_CELL		CCR7, CD1A, CD1B, CD1C, CD4, CD40, CD80, CD83, CD86, CD8A, CLEC4C, CMKLR1, IL3RA, ITGA4, ITGAM, ITGAX, NRP1, PDCD1LG2, TLR9
PLATELET		BSG, CCL5, CCR3, CD109, CD151, CD226, CD36, CD46, CD47, CD48, CD63, CD69, CD84, CD9, CNGB1, CSF3R, FCGR2A, FCGR2B, GP1BA, ICAM2, ITGA2, ITGA2B, ITGA6, ITGAV, ITGB1, ITGB3, JAM3, LAMP2, LRRC32, LYN, PECAM1, SELP, SPN, TNFSF14, VEGFA
T_FOLLICULAR_HELPER		BCL6, CD3D, CD3E, CD3G, CD4, CD40LG, CD84, CXCR5, ICOS, IL6R, PDCD1, SLAMF1, STAT3, TNFSF4
TH1		CCR1, CCR5, CD4, CSF2, CXCR3, DPP4, HAVCR2, IFNA1, IFNGR1, IL2, KLRD1, TNF, TNFSF11
TH2		CCR3, CCR4, CCR7, CCR8, CD4, CSF2, CXCR4, GATA3, HAVCR1, ICOS, IL10, IL13, IL1R1, IL4, IL5, IL6, PTGDR2
TH9		CD3D, CD3E, CD3G, CD4, GATA3, IRF4, STAT6
TH17		CCR4, CCR6, CD38, CD3D, CD3E, CD3G, CD4, IL17A, IL17F, IL1R1, IL21, IL22, KLRB1, LINC-ROR, STAT3
TH22		AHR, CCR10, CCR4, CCR6, CD3D, CD3E, CD3G, CD4
TREG		CCR4, CD4, CNGB1, CTLA4, ENTPD1, FOXP3, IKZF2, IL2RA, ISG20, ITGAE, LAG3, LRRC32, NT5E, SELL, TNFRSF18, TNFRSF4
CYTOTOXIC_CD8_T_CELL		CCL3, CCL4, CD2, CD3D, CD3E, CD3G, CD8A, CD8B, CST7, GZMA, GZMB, IFNG, NKG7, PRF1
MACROPHAGE		CCR5, CD14, CD163, CD33, CD68, CD80, CD86, CSF1R, ENG, FCGRure1A, FUT4, ITGAL, ITGAM, ITGAX, LAMP2, LILRB4, TLR2, TLR4
CYTOTOXIC_T_CELL		CCL3, CCL4, CST7, GZMA, GZMB, IFNG, NKG7, PRF1
EXHAUSTED_T_CELL		CTLA4, HAVCR2, LAG3, PDCD1, TIGIT
NAIVE_T_CELL		CCR7, LEF1, SELL, TCF7
